dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3871074380165289,0.008484055860339823,0.006693178144902201,0.3841103666045118,0.9362,0.7588,0.8189,-0.5490925619834711,-0.7503159441396602,-0.8122068218550977,9.448,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.2878974611782105,0.007352594743432147,-0.0007733106354252523,0.21244731088931018,0.9369,0.7971,0.8483,-0.6490025388217895,-0.7897474052565678,-0.8490733106354253,18.125,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.3714053862149414,0.008255478210367302,0.00877863675603708,0.363473191617794,0.7617,0.3771,0.4266,-0.39029461378505864,-0.3688445217896327,-0.4178213632439629,9.515,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6994535519125683,0.40285660152438335,0.5009835034289236,0.43507881773399015,0.7508,0.4619,0.5324,-0.05134644808743172,-0.059043398475616626,-0.03141649657107637,6.051,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.3127405696689761,0.13114900801363258,0.06677625128687173,0.3062149337406886,0.9172,0.786,0.8163,-0.6044594303310239,-0.6548509919863674,-0.7495237487131283,13.009,
