dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4155371900826446,0.020483326425586597,0.017784925080704814,0.4086971427933433,0.9362,0.7588,0.8189,-0.5206628099173554,-0.7383166735744134,-0.8011150749192951,9.33,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.33596253389203845,0.040644951459317374,0.026397522669723138,0.2760043828384303,0.9369,0.7971,0.8483,-0.6009374661079615,-0.7564550485406827,-0.8219024773302769,18.439,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.47867322615002283,0.09677546555190898,0.09345949397983679,0.4592421962439313,0.7617,0.3771,0.4266,-0.2830267738499772,-0.280324534448091,-0.3331405060201632,10.022,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.7049180327868853,0.41593637219316765,0.5022952024733291,0.4688783068783069,0.7508,0.4619,0.5324,-0.04588196721311477,-0.04596362780683233,-0.030104797526670835,6.474,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.24441878367975364,0.050747284900231844,0.02821070820728579,0.23109826706158088,0.9172,0.786,0.8163,-0.6727812163202463,-0.7352527150997682,-0.7880892917927143,13.741,
