dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.5163636363636364,0.08947390304875573,0.10542258569964393,0.5068317673314175,0.9362,0.7588,0.8189,-0.4198363636363637,-0.6693260969512443,-0.713477414300356,31.912,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.5183633226522061,0.1717529797976125,0.14111958190762852,0.518399746277289,0.9369,0.7971,0.8483,-0.4185366773477939,-0.6253470202023875,-0.7071804180923715,125.437,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5136612021857924,0.14336575405534852,0.1777057010952616,0.32975316703669844,0.7508,0.4619,0.5324,-0.23713879781420766,-0.31853424594465146,-0.35469429890473836,90.283,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7178598922247883,0.466843353484382,0.4583325488081897,0.7140695833805714,0.9172,0.786,0.8163,-0.19934010777521172,-0.31915664651561804,-0.35796745119181034,111.999,
