dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.36925619834710743,0.008883921121737533,0.0065424455461152164,0.3576994978946013,0.9362,0.7588,0.8189,-0.5669438016528926,-0.7499160788782625,-0.8123575544538848,9.2,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.32561005669213705,0.03299439417222499,0.010955365091665458,0.2379961300238856,0.9369,0.7971,0.8483,-0.6112899433078629,-0.7641056058277751,-0.8373446349083346,18.659,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4032053557843485,0.01913655252140388,0.011666963518497673,0.3962532229896288,0.7617,0.3771,0.4266,-0.3584946442156515,-0.3579634474785961,-0.4149330364815023,10.477,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5409836065573771,0.16669633416798732,0.2284195698555499,0.3403753737422079,0.7508,0.4619,0.5324,-0.20981639344262293,-0.29520366583201263,-0.3039804301444501,7.269,
