dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.5325619834710744,0.09712847758977475,0.11620465051504804,0.5254269283313786,0.9362,0.7588,0.8189,-0.4036380165289256,-0.6616715224102253,-0.7026953494849519,9.705,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.6223810697559773,0.3099935959069145,0.2535234675728287,0.6163813983839347,0.9369,0.7971,0.8483,-0.31451893024402267,-0.48710640409308553,-0.5947765324271714,19.984,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.31185031185031187,0.2601092873657946,0.1203826656409642,0.2603714391107129,0.644,0.592,0.449,-0.33214968814968815,-0.3318907126342054,-0.32861733435903584,8.84,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.7103825136612022,0.4130521017473295,0.5450837973428689,0.44041522090302576,0.7508,0.4619,0.5324,-0.040417486338797826,-0.048847898252670496,0.012683797342868952,6.808,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7319091608929946,0.4874437978640017,0.4790281456975266,0.7269908348325655,0.9172,0.786,0.8163,-0.1852908391070054,-0.2985562021359983,-0.3372718543024734,15.777,
