dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.49190082644628097,0.07349495925000446,0.0852952758854798,0.48777760373547574,0.9362,0.7588,0.8189,-0.44429917355371906,-0.6853050407499955,-0.7336047241145202,25.125,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.5555829430613755,0.22308196949069334,0.18967855717615995,0.5483461198489489,0.9369,0.7971,0.8483,-0.3813170569386245,-0.5740180305093067,-0.6586214428238402,48.811,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5181315615965918,0.19729809115318525,0.14168794931057913,0.5260916008442267,0.7617,0.3771,0.4266,-0.24356843840340825,-0.17980190884681474,-0.2849120506894208,26.237,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5081967213114754,0.2205599484201664,0.2271650399385133,0.37327150327150327,0.7508,0.4619,0.5324,-0.2426032786885246,-0.24134005157983357,-0.30523496006148665,36.627,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7336412625096228,0.502370474720391,0.493151034166916,0.7280990601310046,0.9172,0.786,0.8163,-0.1835587374903772,-0.28362952527960905,-0.323148965833084,43.965,
