dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.38181818181818183,0.014154310326503345,0.015453559046752947,0.37750310066785087,0.9362,0.7588,0.8189,-0.5543818181818182,-0.7446456896734966,-0.803446440953247,9.295,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3228986936159724,0.023938490988877632,0.017167512347027993,0.21684316724013422,0.9369,0.7971,0.8483,-0.6140013063840275,-0.7731615090111223,-0.8311324876529721,17.896,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.41578333417862756,0.014928558817969473,0.02000975185528558,0.3662780540246695,0.7617,0.3771,0.4266,-0.3459166658213725,-0.36217144118203054,-0.4065902481447144,10.138,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.47540983606557374,0.10437622072564631,0.12591693342561366,0.3249916894468631,0.7508,0.4619,0.5324,-0.2753901639344263,-0.35752377927435364,-0.4064830665743863,6.132,
