dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3930578512396694,0.015597447969088053,0.016478742369323885,0.3866534729336077,0.9362,0.7588,0.8189,-0.5431421487603306,-0.743202552030912,-0.8024212576306761,20.723,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3648015775203352,0.10978942503832957,0.01536128054292923,0.25653739130853925,0.9369,0.7971,0.8483,-0.5720984224796648,-0.6873105749616705,-0.8329387194570709,44.95,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5397880002028707,0.16940680941040473,0.13069207567759467,0.5402578171556119,0.7617,0.3771,0.4266,-0.2219119997971294,-0.20769319058959526,-0.2959079243224053,26.767,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.2972972972972973,0.19323649797322742,0.07294362283248608,0.19049591116897005,0.644,0.592,0.449,-0.3467027027027027,-0.3987635020267726,-0.37605637716751394,31.05,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.14996699669966998,0.02363561207962308,0.0041812348115105626,0.0992374800091753,0.8159,0.6636,0.6425,-0.66593300330033,-0.6399643879203769,-0.6383187651884894,73.353,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.6166281755196305,0.40679215284119014,0.33555181288075114,0.5823533743351526,0.9172,0.786,0.8163,-0.30057182448036956,-0.3792078471588099,-0.4807481871192489,41.332,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.23841568929052107,0.008247696226766016,0.005895398888905278,0.15000836698197126,0.3443,0.1224,0.0932,-0.10588431070947893,-0.11415230377323397,-0.08730460111109473,68.312,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5901639344262295,0.23779163209731127,0.2552453190084308,0.3632261329652634,0.7508,0.4619,0.5324,-0.16063606557377053,-0.2241083679026887,-0.2771546809915692,41.155,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.23276240667545015,0.01200306163729724,0.005470832991507017,0.1628814172933313,0.4202,0.2199,0.1557,-0.18743759332454987,-0.20789693836270276,-0.15022916700849298,31.293,
