dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.36751294059649986,0.0724704963153419,0.021455231540608518,0.3071804923731012,0.9369,0.7971,0.8483,-0.5693870594035001,-0.7246295036846582,-0.8268447684593916,26.853,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.2261954261954262,0.14121400854250668,0.04220565433944297,0.14683888047290608,0.644,0.592,0.449,-0.4178045738045738,-0.4507859914574933,-0.40679434566055706,11.508,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5643860627884567,0.1557309619296023,0.14436765305426005,0.5529954882860258,0.7617,0.3771,0.4266,-0.19731393721154333,-0.22136903807039768,-0.28223234694573995,13.555,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5683060109289617,0.20548485645141235,0.2724516942669184,0.387444621655148,0.7508,0.4619,0.5324,-0.1824939890710383,-0.25641514354858763,-0.2599483057330816,9.209,
