dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4009917355371901,0.010878762472197349,0.01091658454078912,0.3901462532734942,0.9362,0.7588,0.8189,-0.53520826446281,-0.7479212375278027,-0.8079834154592108,58.181,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.31032782844466356,0.010243904121818444,0.0039450274667328705,0.21608757248928534,0.9369,0.7971,0.8483,-0.6265721715553364,-0.7868560958781816,-0.8443549725332672,287.753,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4912512045443019,0.09980845114929067,0.08872229045050356,0.4818065950429353,0.7617,0.3771,0.4266,-0.27044879545569817,-0.27729154885070934,-0.3378777095494964,169.591,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6885245901639344,0.3649128667991365,0.4819522267865784,0.4398413376917274,0.7508,0.4619,0.5324,-0.06227540983606561,-0.0969871332008635,-0.05044777321342159,5.084,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.33987682832948424,0.11001889727325496,0.08963283384185103,0.3250316714026083,0.9172,0.786,0.8163,-0.5773231716705158,-0.675981102726745,-0.726667166158149,268.163,
