dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3973553719008264,0.016303971482737826,0.015080264495743345,0.3940619634481579,0.9362,0.7588,0.8189,-0.5388446280991737,-0.7424960285172622,-0.8038197355042567,19.85,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3480404239585901,0.09985328263019644,0.012170950469854657,0.24987957360597257,0.9369,0.7971,0.8483,-0.5888595760414099,-0.6972467173698036,-0.8361290495301454,48.026,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5788913120657301,0.12578386973527123,0.15352616809840605,0.5568596030098931,0.7617,0.3771,0.4266,-0.18280868793426996,-0.25131613026472877,-0.27307383190159396,24.669,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.3097713097713098,0.275692791119984,0.12407616264812286,0.21979171756025562,0.644,0.592,0.449,-0.33422869022869023,-0.31630720888001596,-0.32492383735187713,23.001,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.20633663366336633,0.06177508613094817,0.035193202032615084,0.17209120147811519,0.8159,0.6636,0.6425,-0.6095633663366337,-0.6018249138690518,-0.6073067979673848,170.209,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.47305619707467284,0.19242051066403784,0.17018885146074664,0.42533616584103834,0.9172,0.786,0.8163,-0.4441438029253272,-0.5935794893359622,-0.6461111485392534,118.066,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.22611036339165544,0.005067110878063222,0.0028063368227074217,0.15249693021219324,0.3443,0.1224,0.0932,-0.11818963660834456,-0.11733288912193678,-0.09039366317729258,153.136,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5191256830601093,0.14843004252898417,0.17429139135429253,0.34831817555636263,0.7508,0.4619,0.5324,-0.2316743169398907,-0.3134699574710158,-0.3581086086457075,31.912,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.2375933245498463,0.00819950328564195,0.0037412033263658296,0.18333229679877244,0.4202,0.2199,0.1557,-0.18260667545015372,-0.21170049671435806,-0.15195879667363418,41.523,
