dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.47603305785123967,0.11956682406248671,0.12449588003268731,0.4652086516215605,0.9362,0.7588,0.8189,-0.46016694214876036,-0.6392331759375133,-0.6944041199673127,61.913,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3014542765590338,0.011229819817907587,0.0006933977980673427,0.20152635267201657,0.9369,0.7971,0.8483,-0.6354457234409662,-0.7858701801820924,-0.8476066022019327,282.664,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4928741694984024,0.11102589748149723,0.0999251153425417,0.4773012457426651,0.7617,0.3771,0.4266,-0.26882583050159764,-0.2660741025185028,-0.3266748846574583,175.724,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6338797814207651,0.28448267403658095,0.35039063185727254,0.3927754086709311,0.7508,0.4619,0.5324,-0.11692021857923496,-0.17741732596341903,-0.18200936814272745,4.906,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.45708237105465743,0.2361915138885482,0.1722547965200177,0.38368277004032264,0.9172,0.786,0.8163,-0.4601176289453426,-0.5498084861114518,-0.6440452034799823,275.476,
