dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.18461538461538463,0.0920281078268671,0.009627459272789084,0.09559652990185848,0.644,0.592,0.449,-0.4593846153846154,-0.49997189217313287,-0.43937254072721094,28.166,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.15894389438943896,0.023318771198473448,0.012551601641160403,0.09331232960750524,0.8159,0.6636,0.6425,-0.6569561056105611,-0.6402812288015265,-0.6299483983588395,61.763,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.21130551816958276,0.00776271023187224,9.043278525761523e-05,0.13619275589896618,0.3443,0.1224,0.0932,-0.13299448183041723,-0.11463728976812776,-0.0931095672147424,67.234,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.2766798418972332,0.06953403836775475,0.021904333826516523,0.2217653318341885,0.4202,0.2199,0.1557,-0.1435201581027668,-0.15036596163224525,-0.13379566617348349,31.926,
