dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.41024793388429753,0.020552318211863693,0.01830821127107438,0.40326409859003237,0.9362,0.7588,0.8189,-0.5259520661157024,-0.7382476817881364,-0.8005917887289256,9.815,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.41681045107222087,0.13072718350964194,0.05196941811211411,0.34933664818573906,0.9369,0.7971,0.8483,-0.520089548927779,-0.6663728164903581,-0.796330581887886,18.221,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.485012933001978,0.0971474068696857,0.07235655250142878,0.4780326514404705,0.7617,0.3771,0.4266,-0.27668706699802204,-0.2799525931303143,-0.3542434474985712,10.097,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6994535519125683,0.3791048954475037,0.5175718652755292,0.4514037709602226,0.7508,0.4619,0.5324,-0.05134644808743172,-0.08279510455249628,-0.014828134724470754,6.363,
