dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.416198347107438,0.021207889725115604,0.01883152614010585,0.40869337281389057,0.9362,0.7588,0.8189,-0.520001652892562,-0.7375921102748845,-0.8000684738598941,9.667,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3270889820064087,0.048662836643273616,0.027922156573837273,0.26226459511829214,0.9369,0.7971,0.8483,-0.6098110179935913,-0.7484371633567264,-0.8203778434261628,18.633,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.48511436831160926,0.09179608621590143,0.0805939037009666,0.47270306651230065,0.7617,0.3771,0.4266,-0.2765856316883908,-0.2853039137840986,-0.3460060962990334,9.794,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.546448087431694,0.13832086341960062,0.19311073336205742,0.3407194795254497,0.7508,0.4619,0.5324,-0.20435191256830598,-0.3235791365803994,-0.33928926663794257,5.852,
