dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4191735537190083,0.024655398683751238,0.019965567101908475,0.41191924751667014,0.9362,0.7588,0.8189,-0.5170264462809917,-0.7341446013162488,-0.7989344328980915,8.96,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3399063347300961,0.051710494194362015,0.018793083389003436,0.2542724040377533,0.9369,0.7971,0.8483,-0.5969936652699038,-0.745389505805638,-0.8295069166109966,18.175,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.455596693208906,0.08468769882629118,0.07574720428036114,0.4402290243917,0.7617,0.3771,0.4266,-0.30610330679109404,-0.2924123011737088,-0.35085279571963884,9.868,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.7049180327868853,0.4155050846507462,0.5174396977318033,0.43823349852367777,0.7508,0.4619,0.5324,-0.04588196721311477,-0.046394915349253774,-0.014960302268196668,6.173,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.29426481909160895,0.056322422430686955,0.03725076434088146,0.2749151153627608,0.9172,0.786,0.8163,-0.6229351809083911,-0.7296775775693131,-0.7790492356591185,13.561,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4509090909090909,0.030811716693395275,0.030710390141814006,0.44592603335832576,0.9362,0.7588,0.8189,-0.4852909090909091,-0.7279882833066047,-0.788189609858186,63.818,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.2915947744638896,0.005998498954414821,0.005488909870923709,0.1961196018107818,0.9369,0.7971,0.8483,-0.6453052255361104,-0.7911015010455852,-0.8428110901290763,283.824,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4625450119186489,0.10301964265178847,0.07780524784762657,0.45555718595020656,0.7617,0.3771,0.4266,-0.29915498808135116,-0.2740803573482115,-0.34879475215237343,172.154,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6994535519125683,0.41072786143760576,0.5133630515126063,0.4336517786256639,0.7508,0.4619,0.5324,-0.05134644808743172,-0.05117213856239422,-0.01903694848739368,4.91,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.31543494996150884,0.07885525795647057,0.05919640245170427,0.2959338972221557,0.9172,0.786,0.8163,-0.6017650500384912,-0.7071447420435295,-0.7571035975482957,288.976,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4522314049586777,0.03161194438928013,0.031558364750159835,0.44706172938404126,0.9362,0.7588,0.8189,-0.48396859504132234,-0.7271880556107199,-0.7873416352498401,74.201,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.2878974611782105,0.01028728231567307,-0.002750969506233958,0.20122636995367585,0.9369,0.7971,0.8483,-0.6490025388217895,-0.7868127176843269,-0.851050969506234,301.956,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4437794796368616,0.07295363630419074,0.05403761018112697,0.4320640369895261,0.7617,0.3771,0.4266,-0.31792052036313845,-0.3041463636958093,-0.372562389818873,178.212,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.7158469945355191,0.4580622906512875,0.5648807437544774,0.44184248616432525,0.7508,0.4619,0.5324,-0.03495300546448088,-0.0038377093487124703,0.032480743754477404,4.114,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.3123556581986143,0.05861924805965693,0.04062247311638552,0.3022658323085419,0.9172,0.786,0.8163,-0.6048443418013857,-0.7273807519403431,-0.7756775268836145,324.042,
