dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.40793388429752064,0.02246685941454353,0.02251392451465413,0.3981470926072627,0.9362,0.7588,0.8189,-0.5282661157024794,-0.7363331405854565,-0.7963860754853458,8.709,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.2972639881685975,0.021683268201597418,0.003154798795456521,0.19955161720811349,0.9369,0.7971,0.8483,-0.6396360118314024,-0.7754167317984026,-0.8451452012045435,18.935,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5136612021857924,0.15554031872598845,0.21785544626573802,0.30289335185886906,0.7508,0.4619,0.5324,-0.23713879781420766,-0.30635968127401153,-0.31454455373426193,5.538,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4775067200892631,0.08933090196915335,0.07850411244537928,0.46340376473139916,0.7617,0.3771,0.4266,-0.28419327991073695,-0.28776909803084666,-0.34809588755462073,9.698,
