dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.2806652806652807,0.22206019503142765,0.09695365984642766,0.24720829911796455,0.644,0.592,0.449,-0.36333471933471934,-0.3699398049685723,-0.35204634015357233,27.565,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.2271947194719472,0.07241429394770792,0.042079298216440214,0.2270943103615064,0.8159,0.6636,0.6425,-0.5887052805280528,-0.591185706052292,-0.6004207017835598,59.577,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.2149586617958085,0.010628691242700687,0.0009220322663757625,0.15055651704459708,0.3443,0.1224,0.0932,-0.1293413382041915,-0.1117713087572993,-0.09227796773362425,66.611,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.3214756258234519,0.10509348678659554,0.03269890947301786,0.301022966499023,0.4202,0.2199,0.1557,-0.09872437417654811,-0.11480651321340447,-0.12300109052698215,31.831,
