dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3821487603305785,0.008780882168756207,0.007092063708502483,0.3733588025462964,0.9362,0.7588,0.8189,-0.5540512396694215,-0.7500191178312439,-0.8118079362914975,21.368,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.2869115109686961,0.006796276191798632,-0.0012888803919029526,0.14159179931057825,0.9369,0.7971,0.8483,-0.6499884890313039,-0.7903037238082014,-0.8495888803919031,48.923,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5956284153005464,0.2530038908001437,0.2669742709517109,0.35169027738687186,0.7508,0.4619,0.5324,-0.15517158469945358,-0.2088961091998563,-0.2654257290482891,34.557,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.380292532717475,0.10248842844966326,0.0745137012625067,0.34740628045785843,0.9172,0.786,0.8163,-0.536907467282525,-0.6835115715503368,-0.7417862987374934,41.101,
