dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4056198347107438,0.029953797990179276,0.03314149862154765,0.4002521506482119,0.9362,0.7588,0.8189,-0.5305801652892562,-0.7288462020098208,-0.7857585013784523,9.147,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3088489031303919,0.030116480969313207,0.009909684088850772,0.23085761756328796,0.9369,0.7971,0.8483,-0.628051096869608,-0.7669835190306868,-0.8383903159111493,18.545,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.474970837348481,0.08588280165494873,0.07642397972988975,0.45878318927672695,0.7617,0.3771,0.4266,-0.28672916265151904,-0.2912171983450513,-0.35017602027011024,9.917,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6994535519125683,0.41865698000318424,0.5183444107738978,0.43487824759533444,0.7508,0.4619,0.5324,-0.05134644808743172,-0.043243019996815735,-0.014055589226102172,6.337,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.2777136258660508,0.04384280716232255,0.03550103848382701,0.25518039130075787,0.9172,0.786,0.8163,-0.6394863741339492,-0.7421571928376774,-0.780798961516173,13.452,
