dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3910743801652893,0.013088455160675406,0.014707003360245552,0.38757709884088026,0.9362,0.7588,0.8189,-0.5451256198347108,-0.7457115448393247,-0.8041929966397544,21.192,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6775956284153005,0.38183589045479166,0.46284674798942244,0.4040368671013443,0.7508,0.4619,0.5324,-0.0732043715846995,-0.08006410954520832,-0.06955325201057755,32.557,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.779253271747498,0.5667206139070106,0.5547484218195674,0.7754499858624553,0.9172,0.786,0.8163,-0.13794672825250198,-0.21927938609298947,-0.2615515781804326,40.286,
