dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.5031404958677685,0.10051170368909192,0.10680038882998014,0.5026100209286389,0.9362,0.7588,0.8189,-0.4330595041322315,-0.6582882963109081,-0.7120996111700199,32.09,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.5124476213951196,0.164137394067035,0.13869772643972053,0.5107521796360557,0.9369,0.7971,0.8483,-0.4244523786048804,-0.632962605932965,-0.7096022735602795,129.188,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.48633879781420764,0.13802493121865744,0.10263792043189691,0.29653066737829087,0.7508,0.4619,0.5324,-0.2644612021857924,-0.32387506878134253,-0.4297620795681031,87.219,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7201693610469592,0.47533866270593883,0.4653239569498599,0.716499912112865,0.9172,0.786,0.8163,-0.19703063895304085,-0.3106613372940612,-0.35097604305014013,113.448,
