dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.5312396694214876,0.11767809332794969,0.1410556801337759,0.515668113801641,0.9362,0.7588,0.8189,-0.40496033057851244,-0.6411219066720504,-0.6778443198662241,43.441,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.45698792210993344,0.12408004196419091,0.09460660008879422,0.4604362476545557,0.9369,0.7971,0.8483,-0.4799120778900665,-0.6730199580358092,-0.7536933999112059,47.965,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.644808743169399,0.30805260666885526,0.3972439765126245,0.40159311570166645,0.7508,0.4619,0.5324,-0.10599125683060107,-0.15384739333114472,-0.1351560234873755,38.384,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7442263279445728,0.5080739687256556,0.5036224250672036,0.7405417649669813,0.9172,0.786,0.8163,-0.17297367205542724,-0.27792603127434445,-0.31267757493279646,41.927,
