dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.416198347107438,0.021237996659755454,0.01884138080246062,0.40869424729218523,0.9362,0.7588,0.8189,-0.520001652892562,-0.7375620033402446,-0.8000586191975393,10.776,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3290608824254375,0.05144678131468332,0.02859731086609486,0.2615328724618002,0.9369,0.7971,0.8483,-0.6078391175745624,-0.7456532186853168,-0.8197026891339052,17.698,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.48227417964193336,0.08984060059316135,0.08964078340331301,0.46491795531338403,0.7617,0.3771,0.4266,-0.2794258203580667,-0.28725939940683864,-0.336959216596687,9.38,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5245901639344263,0.12765462423341445,0.19183377144091457,0.31745161120469034,0.7508,0.4619,0.5324,-0.22620983606557377,-0.33424537576658553,-0.3405662285590854,6.072,
