dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4393388429752066,0.03040355620459033,0.038674098041002095,0.41684172488193877,0.9362,0.7588,0.8189,-0.49686115702479344,-0.7283964437954097,-0.7802259019589979,34.204,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.41557801331032784,0.07612939254921763,0.05950281345859356,0.4157214382238836,0.9369,0.7971,0.8483,-0.5213219866896721,-0.7209706074507825,-0.7887971865414065,121.095,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.4808743169398907,0.22468313209131613,0.14405136704046165,0.38498483944921646,0.7508,0.4619,0.5324,-0.26992568306010933,-0.23721686790868385,-0.38834863295953836,92.982,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.5175134719014627,0.2334405464430823,0.2134354183899664,0.513963540973518,0.9172,0.786,0.8163,-0.39968652809853733,-0.5525594535569177,-0.6028645816100336,102.204,
