dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4109090909090909,0.021682093735312713,0.025882866956665664,0.39620780604872624,0.9362,0.7588,0.8189,-0.5252909090909091,-0.7371179062646873,-0.7930171330433343,9.873,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3379344343110673,0.04051713099817007,0.020372009337483815,0.25956478705293873,0.9369,0.7971,0.8483,-0.5989655656889327,-0.7565828690018299,-0.8279279906625162,20.31,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5300546448087432,0.14516344326603742,0.1655033863515758,0.34196914196914197,0.7508,0.4619,0.5324,-0.22074535519125682,-0.31673655673396256,-0.3668966136484242,6.258,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.46726175381650353,0.0763976933403751,0.06931840458994278,0.44803878096457833,0.7617,0.3771,0.4266,-0.2944382461834965,-0.3007023066596249,-0.3572815954100572,10.522,
