dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.44231404958677684,0.029437067331383647,0.029765712295694427,0.43966937684725443,0.9362,0.7588,0.8189,-0.4938859504132232,-0.7293629326686164,-0.7891342877043055,8.148,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.313778654177964,0.024145077728638005,0.011065698082711004,0.26035438104064756,0.9369,0.7971,0.8483,-0.6231213458220359,-0.772954922271362,-0.8372343019172891,17.368,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4669574478876097,0.07441916073883244,0.062202777159899345,0.4573118762156671,0.7617,0.3771,0.4266,-0.29474255211239037,-0.30268083926116757,-0.3643972228401006,9.043,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.48633879781420764,0.14783031587927126,0.1967224578506731,0.30655007403943574,0.7508,0.4619,0.5324,-0.2644612021857924,-0.3140696841207287,-0.3356775421493269,5.192,
