dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.31185031185031187,0.2334582473072076,0.10977336236921889,0.26176216395131013,0.644,0.592,0.449,-0.33214968814968815,-0.35854175269279237,-0.3392266376307811,42.153,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.21966996699669966,0.0677546652319867,0.03845445817847742,0.21570814415528877,0.8159,0.6636,0.6425,-0.5962300330033004,-0.5958453347680133,-0.6040455418215226,682.74,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.2203422418765622,0.011337635974501277,0.0020035504699947903,0.14586233691902156,0.3443,0.1224,0.0932,-0.12395775812343779,-0.11106236402549871,-0.09119644953000522,364.609,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.3170838823012736,0.10090397679148613,0.02950294744088653,0.2960334111011444,0.4202,0.2199,0.1557,-0.10311611769872642,-0.11899602320851388,-0.12619705255911348,154.985,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.2943866943866944,0.22721451279033464,0.09812475515214483,0.25881284807575,0.644,0.592,0.449,-0.3496133056133056,-0.3647854872096653,-0.35087524484785515,42.503,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.2318151815181518,0.07167583910542552,0.04420740900556269,0.2269384953388197,0.8159,0.6636,0.6425,-0.5840848184818481,-0.5919241608945744,-0.5982925909944372,674.586,
