dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4730578512396694,0.041942977311108506,0.04636453342064784,0.47143037912110247,0.9362,0.7588,0.8189,-0.4631421487603306,-0.7168570226888915,-0.7725354665793521,8.241,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.36159723933941335,0.041576108909511376,0.03419806733989779,0.3295939377930249,0.9369,0.7971,0.8483,-0.5753027606605866,-0.7555238910904887,-0.8141019326601022,17.585,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.47928183800781055,0.0952299300368821,0.07953239262825099,0.47535243006963124,0.7617,0.3771,0.4266,-0.2824181619921895,-0.2818700699631179,-0.347067607371749,9.281,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.39344262295081966,0.0685056300093548,0.08157463182082965,0.2795495955216065,0.7508,0.4619,0.5324,-0.35735737704918036,-0.39339436999064514,-0.45082536817917035,5.201,
