dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4059504132231405,0.03398342941134748,0.034204057778290484,0.39207807275271667,0.9362,0.7588,0.8189,-0.5302495867768595,-0.7248165705886526,-0.7846959422217095,9.939,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3438501355681538,0.057700603161720085,0.012599605451423268,0.25606598019613647,0.9369,0.7971,0.8483,-0.5930498644318462,-0.7393993968382799,-0.8357003945485768,17.806,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5035248770096871,0.11663403643600413,0.0948523799050975,0.49539585238656336,0.7617,0.3771,0.4266,-0.258175122990313,-0.2604659635639959,-0.3317476200949025,9.842,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5081967213114754,0.1479772297294934,0.15342663704224688,0.319498891912685,0.7508,0.4619,0.5324,-0.2426032786885246,-0.3139227702705066,-0.3789733629577531,7.404,
