dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_delta,runtime_sec,error
pubmed,sect_coco_blog_denoised,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.227,
pubmed,sect_coco_pubmed_smooth40,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.165,
pubmed,sect_coco_pubmed_l2,ok,0.5977582796571487,0.33352210465916743,0.28902760255589877,0.579445580041072,0.7551,-0.15734172034285132,10.152,
pubmed,sect_coco_pubmed_power10,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.267,
pubmed,sect_coco_pubmed_rank4,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.072,
pubmed,sect_coco_v1,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,14.782,
pubmed,sect_coco_v1,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,14.343,
pubmed,sect_coco_lowhard,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.361,
pubmed,sect_coco_smooth,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.803,
pubmed,sect_coco_sharp,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.6,
pubmed,sect_coco_head_denoised,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.776,
pubmed,sect_coco_head_concat,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.698,
pubmed,sect_coco_blog_l2,ok,0.5977582796571487,0.33352210465916743,0.28902760255589877,0.579445580041072,0.7551,-0.15734172034285132,9.144,
pubmed,sect_coco_blog_smooth,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.791,
pubmed,sect_coco_blog_denoised,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.581,
pubmed,sect_coco_pubmed_smooth40,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.894,
pubmed,sect_coco_pubmed_l2,ok,0.5977582796571487,0.33352210465916743,0.28902760255589877,0.579445580041072,0.7551,-0.15734172034285132,10.667,
pubmed,sect_coco_pubmed_power10,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.862,
pubmed,sect_coco_pubmed_rank4,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.95,
pubmed,sect_coco_pubmed_elss20,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.876,
pubmed,sect_coco_v1,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,13.624,
pubmed,sect_coco_lowhard,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,10.774,
pubmed,sect_coco_smooth,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.694,
pubmed,sect_coco_sharp,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,8.991,
pubmed,sect_coco_head_denoised,ok,0.5843688187858194,0.30864110902092723,0.2736069440440618,0.5704147963204977,0.7551,-0.17073118121418063,9.305,
pubmed,sect_coco_head_concat,ok,0.612263528934422,0.32085029791425246,0.28775738228355974,0.6078956095519988,0.7551,-0.14283647106557795,8.888,
pubmed,sect_coco_blog_l2,ok,0.6655170664908454,0.2801928443653376,0.26122002601905153,0.6770234899650768,0.7551,-0.08958293350915458,9.436,
pubmed,sect_coco_blog_smooth,ok,0.6080539635847239,0.33287014027605955,0.29120503416905286,0.5946591169647151,0.7551,-0.14704603641527614,9.53,
pubmed,sect_coco_blog_denoised,ok,0.5968960795252828,0.23954782256394536,0.18115858795708,0.5980792935836973,0.7551,-0.1582039204747172,9.418,
pubmed,sect_coco_pubmed_smooth40,ok,0.4913019221991175,0.1873750065757477,0.14152817481148494,0.4130112838617847,0.7551,-0.2637980778008825,9.429,
pubmed,sect_coco_pubmed_l2,ok,0.6655170664908454,0.2801928443653376,0.26122002601905153,0.6770234899650768,0.7551,-0.08958293350915458,9.602,
pubmed,sect_coco_pubmed_power10,ok,0.6080539635847239,0.33287014027605955,0.29120503416905286,0.5946591169647151,0.7551,-0.14704603641527614,9.522,
pubmed,sect_coco_pubmed_rank4,ok,0.616371658974489,0.3246289434249854,0.28442660154596705,0.6082156625400341,0.7551,-0.13872834102551101,9.646,
pubmed,sect_coco_pubmed_elss20,ok,0.6280367195820865,0.3307667250498881,0.2895059965199016,0.6229030845467264,0.7551,-0.12706328041791348,9.888,
pubmed,sect_coco_v1,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,14.195,
pubmed,sect_coco_lowhard,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,15.351,
pubmed,sect_coco_smooth,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,12.784,
pubmed,sect_coco_sharp,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,12.411,
pubmed,sect_coco_head_denoised,ok,0.5843688187858194,0.30864110902092723,0.2736069440440618,0.5704147963204977,0.7551,-0.17073118121418063,12.412,
pubmed,sect_coco_head_concat,ok,0.612263528934422,0.32085029791425246,0.28775738228355974,0.6078956095519988,0.7551,-0.14283647106557795,12.165,
pubmed,sect_coco_blog_l2,ok,0.6655170664908454,0.2801928443653376,0.26122002601905153,0.6770234899650768,0.7551,-0.08958293350915458,12.486,
pubmed,sect_coco_blog_smooth,ok,0.6080539635847239,0.33287014027605955,0.29120503416905286,0.5946591169647151,0.7551,-0.14704603641527614,12.42,
pubmed,sect_coco_blog_denoised,ok,0.5968960795252828,0.23954782256394536,0.18115858795708,0.5980792935836973,0.7551,-0.1582039204747172,12.77,
pubmed,sect_coco_pubmed_smooth40,ok,0.4913019221991175,0.1873750065757477,0.14152817481148494,0.4130112838617847,0.7551,-0.2637980778008825,12.564,
pubmed,sect_coco_pubmed_l2,ok,0.6655170664908454,0.2801928443653376,0.26122002601905153,0.6770234899650768,0.7551,-0.08958293350915458,12.715,
pubmed,sect_coco_pubmed_power10,ok,0.6080539635847239,0.33287014027605955,0.29120503416905286,0.5946591169647151,0.7551,-0.14704603641527614,12.483,
pubmed,sect_coco_pubmed_rank4,ok,0.616371658974489,0.3246289434249854,0.28442660154596705,0.6082156625400341,0.7551,-0.13872834102551101,12.394,
pubmed,sect_coco_pubmed_elss20,ok,0.6280367195820865,0.3307667250498881,0.2895059965199016,0.6229030845467264,0.7551,-0.12706328041791348,12.409,
pubmed,sect_coco_v1,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,13.257,
pubmed,sect_coco_lowhard,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,14.43,
pubmed,sect_coco_smooth,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,12.171,
pubmed,sect_coco_sharp,ok,0.597707562002333,0.33320948322044774,0.2887787435710975,0.5793217438652468,0.7551,-0.157392437997667,12.026,
pubmed,sect_coco_head_denoised,ok,0.5843688187858194,0.30864110902092723,0.2736069440440618,0.5704147963204977,0.7551,-0.17073118121418063,11.977,
pubmed,sect_coco_head_concat,ok,0.612263528934422,0.32085029791425246,0.28775738228355974,0.6078956095519988,0.7551,-0.14283647106557795,11.815,
pubmed,sect_coco_blog_l2,ok,0.6655170664908454,0.2801928443653376,0.26122002601905153,0.6770234899650768,0.7551,-0.08958293350915458,12.839,
pubmed,sect_coco_blog_smooth,ok,0.6080539635847239,0.33287014027605955,0.29120503416905286,0.5946591169647151,0.7551,-0.14704603641527614,12.395,
pubmed,sect_coco_blog_denoised,ok,0.5968960795252828,0.23954782256394536,0.18115858795708,0.5980792935836973,0.7551,-0.1582039204747172,12.282,
pubmed,sect_coco_pubmed_smooth40,ok,0.4913019221991175,0.1873750065757477,0.14152817481148494,0.4130112838617847,0.7551,-0.2637980778008825,12.259,
pubmed,sect_coco_pubmed_l2,ok,0.6655170664908454,0.2801928443653376,0.26122002601905153,0.6770234899650768,0.7551,-0.08958293350915458,12.419,
pubmed,sect_coco_pubmed_power10,ok,0.6080539635847239,0.33287014027605955,0.29120503416905286,0.5946591169647151,0.7551,-0.14704603641527614,12.51,
pubmed,sect_coco_pubmed_rank4,ok,0.616371658974489,0.3246289434249854,0.28442660154596705,0.6082156625400341,0.7551,-0.13872834102551101,12.152,
pubmed,sect_coco_pubmed_elss20,ok,0.6280367195820865,0.3307667250498881,0.2895059965199016,0.6229030845467264,0.7551,-0.12706328041791348,13.024,
pubmed,pubmed_sgc8_raw,ok,0.6827610691281635,0.3190772466919397,0.3069149673208302,0.6797197566041131,0.7551,-0.07233893087183652,20.995,
pubmed,pubmed_sgc12_raw,ok,0.6873763757163869,0.31898767916785775,0.31089789352833785,0.6838707498853944,0.7551,-0.06772362428361312,20.846,
pubmed,pubmed_sgc8_sinkhorn,ok,0.6827610691281635,0.31617836913440783,0.30589774408573517,0.6792679712048453,0.7551,-0.07233893087183652,21.211,
pubmed,pubmed_sgc8_spill,ok,0.6362529796622204,0.2432091973954768,0.2291275856204655,0.6337844994868785,0.7551,-0.11884702033777961,21.347,
pubmed,pubmed_elss_spill_old,ok,0.49500431100065934,0.22099257055178004,0.18495943548464966,0.4293611323247075,0.7551,-0.26009568899934066,12.95,
pubmed,sect_coco_v1,ok,0.712532332504945,0.32682062673026574,0.33907023321989027,0.7024389097132874,0.7551,-0.04256766749505503,14.327,
pubmed,sect_coco_v1,ok,0.712532332504945,0.32682062673026574,0.33907023321989027,0.7024389097132874,0.7551,-0.04256766749505503,12.792,
pubmed,sect_coco_lowhard,ok,0.712532332504945,0.32682062673026574,0.33907023321989027,0.7024389097132874,0.7551,-0.04256766749505503,14.226,
pubmed,sect_coco_smooth,ok,0.712532332504945,0.32682062673026574,0.33907023321989027,0.7024389097132874,0.7551,-0.04256766749505503,12.808,
pubmed,sect_coco_sharp,ok,0.712532332504945,0.32682062673026574,0.33907023321989027,0.7024389097132874,0.7551,-0.04256766749505503,12.441,
pubmed,sect_coco_head_denoised,ok,0.712532332504945,0.32682062673026574,0.33907023321989027,0.7024389097132874,0.7551,-0.04256766749505503,12.683,
pubmed,sect_coco_head_concat,ok,0.712532332504945,0.32682062673026574,0.33907023321989027,0.7024389097132874,0.7551,-0.04256766749505503,12.899,
pubmed,sect_coco_blog_l2,ok,0.7073591317137495,0.31659236334549057,0.3338663793597626,0.697818190295494,0.7551,-0.04774086828625046,12.895,
pubmed,sect_coco_blog_smooth,ok,0.6220520363138409,0.30672295702915325,0.2746190575731749,0.6127067266601723,0.7551,-0.13304796368615912,11.848,
pubmed,sect_coco_blog_denoised,ok,0.6260587310442766,0.23625995949902076,0.21401843366081433,0.6350091759324815,0.7551,-0.12904126895572343,11.766,
pubmed,sect_coco_pubmed_smooth40,ok,0.6941218238068672,0.29793571317418815,0.28990550117164887,0.6745285225007818,0.7551,-0.06097817619313284,12.633,
pubmed,sect_coco_pubmed_l2,ok,0.7073591317137495,0.31659236334549057,0.3338663793597626,0.697818190295494,0.7551,-0.04774086828625046,11.661,
pubmed,sect_coco_pubmed_power10,ok,0.6220520363138409,0.30672295702915325,0.2746190575731749,0.6127067266601723,0.7551,-0.13304796368615912,11.493,
pubmed,sect_coco_pubmed_rank4,ok,0.6210884008723436,0.31339461105333744,0.27654581289669156,0.612509140578991,0.7551,-0.13401159912765637,13.1,
pubmed,sect_coco_pubmed_elss20,ok,0.6340214028503321,0.3005517518362487,0.2732407165082786,0.6254000499410521,0.7551,-0.12107859714966784,12.393,
pubmed,pubmed_sgc8_raw,ok,0.6827610691281635,0.3190772466919397,0.3069149673208302,0.6797197566041131,0.7551,-0.07233893087183652,19.889,
pubmed,pubmed_sgc12_raw,ok,0.6873763757163869,0.31898767916785775,0.31089789352833785,0.6838707498853944,0.7551,-0.06772362428361312,20.927,
pubmed,pubmed_sgc8_sinkhorn,ok,0.6827610691281635,0.31617836913440783,0.30589774408573517,0.6792679712048453,0.7551,-0.07233893087183652,21.458,
pubmed,pubmed_sgc8_spill,ok,0.6362529796622204,0.2432091973954768,0.2291275856204655,0.6337844994868785,0.7551,-0.11884702033777961,21.03,
pubmed,pubmed_fast_elss_official,ok,0.7141045798042298,0.33222270505717766,0.3429183672633952,0.7051211124564555,0.7551,-0.04099542019577018,13.128,
pubmed,pubmed_elss_spill_old,ok,0.7183141451539281,0.34616604141661117,0.3450147999080314,0.7110150246954858,0.7551,-0.036785854846071886,13.656,
pubmed,sect_coco_v1,ok,0.712532332504945,0.32682062673026574,0.33907023321989027,0.7024389097132874,0.7551,-0.04256766749505503,14.192,
pubmed,sect_coco_v1,ok,0.7104021910026881,0.3245228182375131,0.33751663621960415,0.7009696541806733,0.7551,-0.044697808997311905,14.435,
