dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.3996694214876033,0.011663419071466582,0.011043751147085792,0.3925299478866611,0.9362,0.7588,0.8189,-0.5365305785123967,-0.7471365809285334,-0.8078562488529142,10.638,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3436036480157752,0.040329098086999124,0.02080089888425161,0.2563249865731285,0.9369,0.7971,0.8483,-0.5932963519842247,-0.7567709019130009,-0.8274991011157484,18.569,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.47527514327737486,0.07065909594741662,0.06318470339399,0.46014655804200433,0.7617,0.3771,0.4266,-0.2864248567226252,-0.3064409040525834,-0.36341529660600996,9.821,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.22494802494802496,0.12100365463785256,0.037065808821795644,0.13283425684182043,0.644,0.592,0.449,-0.41905197505197506,-0.4709963453621474,-0.41193419117820435,8.37,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.2680908391070054,0.05084795584040591,0.03648780259178267,0.2461254487987656,0.9172,0.786,0.8163,-0.6491091608929946,-0.7351520441595941,-0.7798121974082174,13.483,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.4972677595628415,0.09700030046095705,0.1595884246350457,0.2968310103321545,0.7508,0.4619,0.5324,-0.2535322404371585,-0.36489969953904294,-0.3728115753649543,6.345,
