dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.4740495867768595,0.04234326172770034,0.04687752609814937,0.47244008240489643,0.9362,0.7588,0.8189,-0.46215041322314054,-0.7164567382722997,-0.7720224739018506,8.289,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.33694848410155287,0.029344912333128845,0.0223658943640045,0.30270781948312503,0.9369,0.7971,0.8483,-0.5999515158984471,-0.7677550876668712,-0.8259341056359956,17.518,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.46837754222244765,0.08496102404857842,0.07399867763783288,0.4627144826393698,0.7617,0.3771,0.4266,-0.2933224577775524,-0.2921389759514216,-0.3526013223621671,8.94,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5355191256830601,0.17273438627395646,0.19585752957117203,0.3702015276122129,0.7508,0.4619,0.5324,-0.21528087431693987,-0.28916561372604355,-0.33654247042882796,5.25,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.38380165289256196,0.013596829646252057,0.014445990489918287,0.3825984102369638,0.9362,0.7588,0.8189,-0.5523983471074381,-0.745203170353748,-0.8044540095100817,18.495,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3440966231205324,0.051297282269490804,0.015865064516500296,0.30415721758390657,0.9369,0.7971,0.8483,-0.5928033768794676,-0.7458027177305092,-0.8324349354834998,44.439,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4492569863569508,0.038668321690130236,0.03660562179811574,0.44426363876510316,0.7617,0.3771,0.4266,-0.3124430136430492,-0.33843167830986975,-0.38999437820188426,22.491,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.29272349272349274,0.2565271289688772,0.10369472018688777,0.2592063046345256,0.644,0.592,0.449,-0.3512765072765073,-0.3354728710311228,-0.3453052798131122,21.412,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.2073927392739274,0.054063561704954737,0.024930201260308905,0.1929397346776044,0.8159,0.6636,0.6425,-0.6085072607260725,-0.6095364382950452,-0.6175697987396911,59.141,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.3806774441878368,0.1271433980659085,0.1058268792425262,0.3711248607875708,0.9172,0.786,0.8163,-0.5365225558121632,-0.6588566019340916,-0.7104731207574738,38.127,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.22207267833109018,0.0049438197845051764,0.002982509347733679,0.17347971663704992,0.3443,0.1224,0.0932,-0.12222732166890982,-0.11745618021549482,-0.09021749065226632,62.209,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.48633879781420764,0.1918095740516267,0.21134104079138843,0.34591630591630584,0.7508,0.4619,0.5324,-0.2644612021857924,-0.2700904259483733,-0.32105895920861155,26.945,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.2981993851559069,0.043999689635234825,0.035389578773882664,0.2833579695204729,0.4202,0.2199,0.1557,-0.12200061484409314,-0.1759003103647652,-0.12031042122611735,25.39,
