dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.49983471074380165,0.08560919533405936,0.10131874782997996,0.4918914675595441,0.9362,0.7588,0.8189,-0.4363652892561984,-0.6731908046659407,-0.71758125217002,20.797,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.5905841754991373,0.25853676573757006,0.20785174231003858,0.582035995027553,0.9369,0.7971,0.8483,-0.3463158245008626,-0.53856323426243,-0.6404482576899615,47.689,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6065573770491803,0.27477658394366705,0.342277381856259,0.36047536650853307,0.7508,0.4619,0.5324,-0.1442426229508197,-0.18712341605633293,-0.19012261814374098,32.911,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.7376828329484219,0.5030722917593127,0.495592791584011,0.7328184450690566,0.9172,0.786,0.8163,-0.17951716705157816,-0.28292770824068736,-0.32070720841598904,39.921,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.5217325150885023,0.20155023020347854,0.14244642741316182,0.5288502615621651,0.7617,0.3771,0.4266,-0.23996748491149777,-0.17554976979652145,-0.28415357258683815,32.323,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.27692307692307694,0.20816054213805094,0.09356034268921376,0.24330460288720027,0.644,0.592,0.449,-0.3670769230769231,-0.38383945786194906,-0.35543965731078625,32.957,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.2505610561056106,0.08308144790744959,0.047778760349767135,0.24836526598239805,0.8159,0.6636,0.6425,-0.5653389438943894,-0.5805185520925504,-0.5947212396502328,65.705,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.21457412036146895,0.0046756696793714535,0.0006398898603788803,0.14044546653564835,0.3443,0.1224,0.0932,-0.12972587963853105,-0.11772433032062854,-0.09256011013962112,72.976,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.3052261747913922,0.0636795222766643,0.03893430631338376,0.26302491966324826,0.4202,0.2199,0.1557,-0.11497382520860783,-0.1562204777233357,-0.11676569368661624,36.926,
