dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
acm,sect_coco_e2e_unified_aptc_acm,ok,0.41818181818181815,0.02184752268724516,0.019331489883528563,0.41111645476769115,0.9362,0.7588,0.8189,-0.5180181818181819,-0.7369524773127548,-0.7995685101164713,9.298,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.3440966231205324,0.05108088437974054,0.027318536557984035,0.2717210133963287,0.9369,0.7971,0.8483,-0.5928033768794676,-0.7460191156202595,-0.8209814634420161,18.082,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.45691535223411267,0.07063030087033667,0.07339880518721503,0.43580465066316904,0.7617,0.3771,0.4266,-0.3047846477658874,-0.3064696991296633,-0.35320119481278495,9.854,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.6939890710382514,0.3920013387032192,0.4895400609340574,0.4420783608311896,0.7508,0.4619,0.5324,-0.05681092896174866,-0.0698986612967808,-0.0428599390659426,6.341,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.2661662817551963,0.05174522335624217,0.03408851249620368,0.24799403193139993,0.9172,0.786,0.8163,-0.6510337182448037,-0.7342547766437578,-0.7822114875037963,13.566,
