name,acc,nmi,ari,f1,time,patch
dblp_top_1,0.9359132363815628,0.794345377755298,0.8458721916142411,0.9313607015650704,9.697,{'low_quantile': 0.185}
dblp_top_2,0.9368991865910772,0.7973154660387304,0.8480817656693512,0.9324492337332867,9.54,{}
dblp_top_3,0.9368991865910772,0.7973154660387304,0.8480817656693512,0.9324492337332867,9.566,{'low_quantile': 0.195}
dblp_top_4,0.9368991865910772,0.7973154660387305,0.8480817656693512,0.9324492337332867,9.64,{'low_quantile': 0.2}
dblp_top_5,0.93640621148632,0.7957292245198502,0.8467501978073068,0.9319912138930986,9.563,{'high_quantile': 0.805}
dblp_top_6,0.93640621148632,0.7962175052245845,0.8469389269446416,0.9319535885480874,9.595,{'high_quantile': 0.815}
dblp_top_7,0.9361597239339413,0.7950014824413785,0.8460932290665094,0.9317790326222473,9.596,{'restart': 0.43}
dblp_top_8,0.93640621148632,0.7954547348065567,0.8466194036236113,0.9320467308324324,9.595,{'restart': 0.47}
dblp_top_9,0.9361597239339413,0.7953606424684018,0.8462016416200572,0.9317469050299534,9.597,{'restart': 0.49}
dblp_top_10,0.9368991865910772,0.7973154660387304,0.8480817656693512,0.9324492337332867,9.581,{'head_d': 0.925}
dblp_top_11,0.9361597239339413,0.7956838795681679,0.8463609530888501,0.9316862062125707,9.587,{'head_d': 0.935}
dblp_top_12,0.9368991865910772,0.7974037785550154,0.8483340045159905,0.9323473576580272,9.37,{'head_n_anchors': 80}
dblp_top_13,0.9359132363815628,0.7946959399759653,0.8460124818349342,0.9313176399632735,9.339,{'head_n_anchors': 100}
dblp_top_14,0.9366526990386985,0.7970610434298642,0.8476398673933631,0.9321483368395275,9.452,{'head_n_anchors': 110}
dblp_top_15,0.93640621148632,0.7957500679816729,0.8467091767947685,0.9320023963908944,9.323,{'head_gamma': 0.0025}
dblp_top_16,0.9366526990386985,0.7965520238756334,0.8474234334151728,0.9322234031405895,9.471,{'head_gamma': 0.0035}
dblp_top_17,0.9356667488291841,0.7935950986060546,0.8452320180968028,0.931120900136736,9.33,{'head_gamma': 0.004}
