dataset,cstc_acc,sota_acc,gap_acc,cstc_nmi,sota_nmi,gap_nmi,cstc_ari,sota_ari,gap_ari,status
acm,0.8935537190082644,0.9362,-0.04264628099173562,0.6528700292964497,0.7588,-0.10592997070355037,0.7106415747619285,0.8189,-0.1082584252380715,ok
dblp,0.9191520828198176,0.9369,-0.017747917180182315,0.7535786826004347,0.7974,-0.043821317399565296,0.8061167411616155,0.8483,-0.042183258838384585,ok
pubmed,0.5635745803114064,0.7617,-0.19812541968859365,0.1448824700864054,0.3771,-0.2322175299135946,0.12730457988281985,0.4266,-0.29929542011718013,ok
wiki,0.4340956340956341,0.6482,-0.21410436590436588,0.422388067899701,0.5979,-0.17551193210029897,0.24359805743216875,0.4851,-0.24150194256783122,ok
flickr,0.30323432343234324,0.8389,-0.5356656765676567,0.14068156066215293,0.7125,-0.5718184393378472,0.08701001751262047,0.6752,-0.5881899824873795,ok
blogcatalog,0.6404926866820632,0.9172,-0.27670731331793685,0.4808592597836571,0.786,-0.3051407402163429,0.45822165030167683,0.8163,-0.3580783496983232,ok
squirrel,0.25841184387617766,0.3443,-0.08588815612382233,0.02134927577344223,0.1224,-0.10105072422655777,0.016514499041411557,0.0932,-0.07668550095858845,ok
texas,0.47540983606557374,0.7508,-0.2753901639344263,0.3853302213492393,0.5149,-0.12956977865076075,0.2368921025285245,0.6086,-0.37170789747147553,ok
chameleon,0.3227931488801054,0.4202,-0.09740685111989461,0.06491827423376274,0.2199,-0.15498172576623725,0.04862062843457791,0.1562,-0.1075793715654221,ok
