dataset,method,seed,status,acc,nmi,ari,f1,sota_acc,sota_nmi,sota_ari,gap_acc,gap_nmi,gap_ari,runtime_sec,error
dblp,CSTC,42,ok,0.9196450579245748,0.7559760166694995,0.8066294549471078,0.9153500350430653,0.9369,0.7974,0.8483,-0.017254942075425106,-0.04142398333050046,-0.04167054505289225,47.915,
pubmed,CSTC,42,ok,0.5594664502713395,0.1393698493131566,0.12307999931083878,0.5625652618406254,0.7617,0.3771,0.4266,-0.2022335497286606,-0.2377301506868434,-0.3035200006891612,57.731,
texas,CSTC,42,ok,0.41530054644808745,0.2951756495001701,0.1735761942389185,0.34291670222342274,0.7508,0.5149,0.6086,-0.3354994535519126,-0.2197243504998299,-0.4350238057610815,12.934,
flickr,CSTC,42,ok,0.3086468646864686,0.14576362728603848,0.0924314933226284,0.30680290042573316,0.8389,0.7125,0.6752,-0.5302531353135314,-0.5667363727139616,-0.5827685066773716,42.089,
