dataset,method,seed,status,acc,nmi,ari,f1,sota_acc,sota_nmi,sota_ari,gap_acc,gap_nmi,gap_ari,runtime_sec,error
dblp,CSTC,42,ok,0.8910525018486567,0.6969815180591445,0.7461903832488257,0.8851127323141925,0.9369,0.7974,0.8483,-0.04584749815134326,-0.10041848194085545,-0.10210961675117436,57.454,
pubmed,CSTC,42,ok,0.3981335903027844,0.014378438721782178,0.01765610061719329,0.38719873442409564,0.7617,0.3771,0.4266,-0.36356640969721565,-0.3627215612782178,-0.4089438993828067,56.087,
texas,CSTC,42,ok,0.366120218579235,0.17259801421479024,0.09448618634534914,0.3042746384854188,0.7508,0.5149,0.6086,-0.38467978142076503,-0.34230198578520976,-0.5141138136546509,16.566,
flickr,CSTC,42,ok,0.35405940594059404,0.19632909111563243,0.14356502596546925,0.35115952185682786,0.8389,0.7125,0.6752,-0.48484059405940594,-0.5161709088843676,-0.5316349740345307,39.551,
