dataset,method,seed,status,acc,nmi,ari,f1,sota_acc,sota_nmi,sota_ari,gap_acc,gap_nmi,gap_ari,runtime_sec,error
texas,CSTC,42,ok,0.3551912568306011,0.184848329730598,0.12470779018804502,0.2685153963236155,0.7508,0.5149,0.6086,-0.3956087431693989,-0.330051670269402,-0.483892209811955,3.698,
pubmed,CSTC,42,ok,0.4721306486788051,0.12185574978676711,0.09929139513004247,0.4761850740244801,0.7617,0.3771,0.4266,-0.28956935132119493,-0.2552442502132329,-0.3273086048699575,14.721,
