dataset,cstc_acc,sota_acc,gap_acc,cstc_nmi,sota_nmi,gap_nmi,cstc_ari,sota_ari,gap_ari,status
acm,0.8938842975206611,0.9362,-0.04231570247933891,0.6538378543278093,0.7588,-0.10496214567219075,0.7115208269509755,0.8189,-0.10737917304902445,ok
dblp,0.9191520828198176,0.9369,-0.017747917180182315,0.7535786826004347,0.7974,-0.043821317399565296,0.8061167411616155,0.8483,-0.042183258838384585,ok
pubmed,0.5636252979662221,0.7617,-0.19807470203377797,0.14479910091135909,0.3771,-0.2323008990886409,0.12728535961465154,0.4266,-0.29931464038534844,ok
wiki,0.4340956340956341,0.6482,-0.21410436590436588,0.422388067899701,0.5979,-0.17551193210029897,0.24359805743216875,0.4851,-0.24150194256783122,ok
flickr,0.30389438943894387,0.8389,-0.5350056105610561,0.14115754682289272,0.7125,-0.5713424531771073,0.08743695761440293,0.6752,-0.5877630423855971,ok
blogcatalog,0.6404926866820632,0.9172,-0.27670731331793685,0.4814951978519035,0.786,-0.30450480214809655,0.458872065238099,0.8163,-0.35742793476190104,ok
squirrel,0.2582195731590079,0.3443,-0.0860804268409921,0.021398701034783557,0.1224,-0.10100129896521644,0.016530681723880548,0.0932,-0.07666931827611946,ok
texas,0.47540983606557374,0.7508,-0.2753901639344263,0.3853302213492393,0.5149,-0.12956977865076075,0.2368921025285245,0.6086,-0.37170789747147553,ok
chameleon,0.32323232323232326,0.4202,-0.09696767676767676,0.06669069528812152,0.2199,-0.1532093047118785,0.04976744954651587,0.1562,-0.10643255045348413,ok
