dataset,method,seed,status,acc,nmi,ari,f1,sota_acc,sota_nmi,sota_ari,gap_acc,gap_nmi,gap_ari,runtime_sec,error
dblp,CSTC,42,ok,0.9060882425437515,0.7241595563122128,0.7799610558427639,0.8999808299449839,0.9369,0.7974,0.8483,-0.030811757456248423,-0.07324044368778715,-0.06833894415723618,36.692,
pubmed,CSTC,42,ok,0.5632702743825125,0.14084625040184148,0.12626786269447643,0.5663983970074514,0.7617,0.3771,0.4266,-0.1984297256174875,-0.2362537495981585,-0.30033213730552355,40.77,
texas,CSTC,42,ok,0.47540983606557374,0.386020291607772,0.2380341916639017,0.41401096498377293,0.7508,0.5149,0.6086,-0.2753901639344263,-0.128879708392228,-0.3705658083360983,12.17,
flickr,CSTC,42,ok,0.2524092409240924,0.10508998676587317,0.05805232544526101,0.2522488521344852,0.8389,0.7125,0.6752,-0.5864907590759076,-0.6074100132341269,-0.6171476745547391,30.514,
