dataset,method,seed,status,acc,nmi,ari,f1,sota_acc,sota_nmi,sota_ari,gap_acc,gap_nmi,gap_ari,runtime_sec,error
dblp,CSTC,42,ok,0.9060882425437515,0.728327774539847,0.7809481053926327,0.8997389445369932,0.9369,0.7974,0.8483,-0.030811757456248423,-0.06907222546015301,-0.06735189460736735,39.999,
pubmed,CSTC,42,ok,0.5615458741187808,0.14215427148349724,0.1249701928161807,0.564616963223576,0.7617,0.3771,0.4266,-0.20015412588121928,-0.23494572851650275,-0.30162980718381927,40.49,
texas,CSTC,42,ok,0.4644808743169399,0.36262074810389716,0.22069667716767144,0.4018518518518519,0.7508,0.5149,0.6086,-0.2863191256830601,-0.15227925189610286,-0.3879033228323286,12.96,
flickr,CSTC,42,ok,0.2627062706270627,0.09745740909404756,0.05602170735444326,0.26368379607249404,0.8389,0.7125,0.6752,-0.5761937293729373,-0.6150425909059525,-0.6191782926455568,31.246,
