dataset,method,seed,status,acc,nmi,ari,f1,sota_acc,sota_nmi,sota_ari,gap_acc,gap_nmi,gap_ari,runtime_sec,error
acm,CSTC,42,ok,0.6687603305785124,0.3508528314794524,0.3420608607790885,0.6657681687984719,0.9362,0.7588,0.8189,-0.26743966942148767,-0.40794716852054763,-0.4768391392209115,11.356,
pubmed,CSTC,42,ok,0.6586194654359182,0.24890052085460707,0.2386149092315918,0.6625084314230851,0.7617,0.3771,0.4266,-0.10308053456408184,-0.12819947914539292,-0.1879850907684082,39.918,
squirrel,CSTC,42,ok,0.22860988271486252,0.0035679458191364695,0.0021743984962017036,0.22853687623752972,0.3443,0.1224,0.0932,-0.11569011728513748,-0.11883205418086353,-0.0910256015037983,33.264,
texas,CSTC,42,ok,0.34972677595628415,0.14999597978843582,0.09319459446739105,0.28664393293549306,0.7508,0.5149,0.6086,-0.40107322404371587,-0.3649040202115642,-0.5154054055326089,5.457,
