dataset,method,seed,status,acc,nmi,ari,f1,sota_acc,sota_nmi,sota_ari,gap_acc,gap_nmi,gap_ari,runtime_sec,error
acm,CSTC,42,ok,0.6343801652892562,0.19301156107536405,0.22268490376861233,0.6306076798672016,0.9362,0.7588,0.8189,-0.3018198347107438,-0.5657884389246359,-0.5962150962313877,3.696,
pubmed,CSTC,42,ok,0.4838464269412182,0.13423551265353453,0.09354139664053412,0.4883473228880774,0.7617,0.3771,0.4266,-0.27785357305878183,-0.24286448734646546,-0.33305860335946585,12.62,
squirrel,CSTC,42,ok,0.22226494904825994,0.0026674713628940935,0.0014584348321492204,0.21834714007957676,0.3443,0.1224,0.0932,-0.12203505095174005,-0.1197325286371059,-0.09174156516785079,2.716,
texas,CSTC,42,ok,0.366120218579235,0.20873239306505972,0.11423185509793338,0.2768105448807203,0.7508,0.5149,0.6086,-0.38467978142076503,-0.3061676069349403,-0.49436814490206665,0.384,
