dataset,method,seed,status,acc,nmi,ari,f1,sota_acc,sota_nmi,sota_ari,gap_acc,gap_nmi,gap_ari,runtime_sec,error
dblp,CSTC,42,ok,0.9110179935913236,0.7370539408133915,0.7889812031595483,0.9057959679449071,0.9369,0.7974,0.8483,-0.025882006408676328,-0.060346059186608514,-0.059318796840451715,47.505,
pubmed,CSTC,42,ok,0.585687477811026,0.16622857238386793,0.1634762165449563,0.579607120242496,0.7617,0.3771,0.4266,-0.176012522188974,-0.21087142761613206,-0.26312378345504367,56.837,
texas,CSTC,42,ok,0.47540983606557374,0.27550009898215905,0.19955423162758135,0.4096427663361302,0.7508,0.5149,0.6086,-0.2753901639344263,-0.23939990101784098,-0.4090457683724187,14.707,
flickr,CSTC,42,ok,0.23894389438943894,0.1100257529351025,0.06651612614413734,0.23933933662880758,0.8389,0.7125,0.6752,-0.599956105610561,-0.6024742470648975,-0.6086838738558626,43.442,
