dataset,method,seed,status,acc,nmi,ari,f1,sota_acc,sota_nmi,sota_ari,gap_acc,gap_nmi,gap_ari,runtime_sec,error
dblp,CSTC,42,ok,0.9191520828198176,0.7530158433787687,0.806151529517736,0.9146330086450436,0.9369,0.7974,0.8483,-0.017747917180182315,-0.0443841566212313,-0.042148470482264,52.004,
pubmed,CSTC,42,ok,0.5636760156210376,0.14491304049426496,0.12737562780793993,0.5668681949281559,0.7617,0.3771,0.4266,-0.1980239843789624,-0.23218695950573504,-0.29922437219206005,59.214,
texas,CSTC,42,ok,0.47540983606557374,0.3849728727142262,0.23620756970232418,0.41940904394684414,0.7508,0.5149,0.6086,-0.2753901639344263,-0.12992712728577382,-0.3723924302976759,12.023,
flickr,CSTC,42,ok,0.27815181518151816,0.12817312121477759,0.08209512481622096,0.27719643285763657,0.8389,0.7125,0.6752,-0.5607481848184819,-0.5843268787852225,-0.5931048751837791,42.911,
